"Province","Year","Statistic Label","UNIT","VALUE"
"Leinster","1996","Percentage of Irish Speakers","%","37.4"
"Leinster","2002","Population of Irish Speakers","Number","768404"
"Leinster","2002","Population of Non-Irish Speakers","Number","1245467"
"Leinster","2002","Percentage of Irish Speakers","%","38.2"
"Leinster","2006","Population of Irish Speakers","Number","823555"
"Leinster","2006","Population of Non-Irish Speakers","Number","1370796"
"Leinster","2006","Percentage of Irish Speakers","%","37.5"
"Leinster","2011","Population of Irish Speakers","Number","890834"
"Leinster","2011","Population of Non-Irish Speakers","Number","1491799"
"Leinster","2011","Percentage of Irish Speakers","%","37.4"
"Leinster","2016","Population of Irish Speakers","Number","897357"
"Leinster","2016","Population of Non-Irish Speakers","Number","1628022"
"Leinster","2016","Percentage of Irish Speakers","%","35.5"
"Munster","1861","Population of Irish Speakers","Number","545531"
"Munster","1861","Population of Non-Irish Speakers","Number","968027"
"Munster","1861","Percentage of Irish Speakers","%","36"
"Munster","1871","Population of Irish Speakers","Number","386494"
"Munster","1871","Population of Non-Irish Speakers","Number","1006991"
"Munster","1871","Percentage of Irish Speakers","%","27.7"
"Munster","1881","Population of Irish Speakers","Number","445766"
"Munster","1881","Population of Non-Irish Speakers","Number","885349"
"Munster","1881","Percentage of Irish Speakers","%","33.5"
"Munster","1891","Population of Irish Speakers","Number","307633"
"Munster","1891","Population of Non-Irish Speakers","Number","864769"
"Munster","1891","Percentage of Irish Speakers","%","26.2"
"Munster","1901","Population of Irish Speakers","Number","276268"
"Munster","1901","Population of Non-Irish Speakers","Number","799920"
"Munster","1901","Percentage of Irish Speakers","%","25.7"
"Munster","1911","Population of Irish Speakers","Number","228694"
"Munster","1911","Population of Non-Irish Speakers","Number","806801"
"Munster","1911","Percentage of Irish Speakers","%","22.1"
"Munster","1926","Population of Irish Speakers","Number","197625"
"Munster","1926","Population of Non-Irish Speakers","Number","718068"
"Munster","1926","Percentage of Irish Speakers","%","21.6"
"Munster","1936","Population of Irish Speakers","Number","224805"
"Munster","1936","Population of Non-Irish Speakers","Number","668030"
"Munster","1936","Percentage of Irish Speakers","%","25.2"
"Munster","1946","Population of Irish Speakers","Number","189395"
"Munster","1946","Population of Non-Irish Speakers","Number","672660"
"Munster","1946","Percentage of Irish Speakers","%","22"
"Munster","1961","Population of Irish Speakers","Number","228726"
"Munster","1961","Population of Non-Irish Speakers","Number","567613"
"Munster","1961","Percentage of Irish Speakers","%","28.7"
"Munster","1971","Population of Irish Speakers","Number","252805"
"Munster","1971","Population of Non-Irish Speakers","Number","573308"
"Munster","1971","Percentage of Irish Speakers","%","30.6"
"Munster","1981","Population of Irish Speakers","Number","323704"
"Munster","1981","Population of Non-Irish Speakers","Number","612526"
"Munster","1981","Percentage of Irish Speakers","%","34.6"
"Munster","1986","Population of Irish Speakers","Number","337043"
"Munster","1986","Population of Non-Irish Speakers","Number","630434"
"Munster","1986","Percentage of Irish Speakers","%","34.8"
"Munster","1991","Population of Irish Speakers","Number","352177"
"Munster","1991","Population of Non-Irish Speakers","Number","612988"
"Munster","1991","Percentage of Irish Speakers","%","36.5"
"Munster","1996","Population of Irish Speakers","Number","451129"
"Munster","1996","Population of Non-Irish Speakers","Number","541616"
"Munster","1996","Percentage of Irish Speakers","%","45.4"
"Munster","2002","Population of Irish Speakers","Number","493500"
"Munster","2002","Population of Non-Irish Speakers","Number","561683"
"Munster","2002","Percentage of Irish Speakers","%","46.8"
"Munster","2006","Population of Irish Speakers","Number","510005"
"Munster","2006","Population of Non-Irish Speakers","Number","614563"
"Munster","2006","Percentage of Irish Speakers","%","45.4"
"Munster","2011","Population of Irish Speakers","Number","537564"
"Munster","2011","Population of Non-Irish Speakers","Number","651550"
"Munster","2011","Percentage of Irish Speakers","%","45.2"
"Munster","2016","Population of Irish Speakers","Number","526243"
"Munster","2016","Population of Non-Irish Speakers","Number","703833"
"Munster","2016","Percentage of Irish Speakers","%","42.8"
"Connacht","1861","Population of Irish Speakers","Number","409482"
"Connacht","1861","Population of Non-Irish Speakers","Number","503653"
"Connacht","1861","Percentage of Irish Speakers","%","44.8"
"Connacht","1871","Population of Irish Speakers","Number","330211"
"Connacht","1871","Population of Non-Irish Speakers","Number","516002"
"Connacht","1871","Percentage of Irish Speakers","%","39"
"Connacht","1881","Population of Irish Speakers","Number","366191"
"Connacht","1881","Population of Non-Irish Speakers","Number","455466"
"Connacht","1881","Percentage of Irish Speakers","%","44.6"
"Connacht","1891","Population of Irish Speakers","Number","274783"
"Connacht","1891","Population of Non-Irish Speakers","Number","449991"
"Connacht","1891","Percentage of Irish Speakers","%","37.9"
"Connacht","1901","Population of Irish Speakers","Number","245580"
"Connacht","1901","Population of Non-Irish Speakers","Number","401352"
"Connacht","1901","Percentage of Irish Speakers","%","38"
"Connacht","1911","Population of Irish Speakers","Number","217087"
"Connacht","1911","Population of Non-Irish Speakers","Number","393897"
"Connacht","1911","Percentage of Irish Speakers","%","35.5"
"Connacht","1926","Population of Irish Speakers","Number","174234"
"Connacht","1926","Population of Non-Irish Speakers","Number","348964"
"Connacht","1926","Percentage of Irish Speakers","%","33.3"
"Connacht","1936","Population of Irish Speakers","Number","183082"
"Connacht","1936","Population of Non-Irish Speakers","Number","315322"
"Connacht","1936","Percentage of Irish Speakers","%","36.7"
"Connacht","1946","Population of Irish Speakers","Number","154187"
"Connacht","1946","Population of Non-Irish Speakers","Number","309638"
"Connacht","1946","Percentage of Irish Speakers","%","33.2"
"Connacht","1961","Population of Irish Speakers","Number","148708"
"Connacht","1961","Population of Non-Irish Speakers","Number","246592"
"Connacht","1961","Percentage of Irish Speakers","%","37.6"
"Connacht","1971","Population of Irish Speakers","Number","137372"
"Connacht","1971","Population of Non-Irish Speakers","Number","231960"
"Connacht","1971","Percentage of Irish Speakers","%","37.2"
"Connacht","1981","Population of Irish Speakers","Number","155134"
"Connacht","1981","Population of Non-Irish Speakers","Number","244264"
"Connacht","1981","Percentage of Irish Speakers","%","38.8"
"Connacht","1986","Population of Irish Speakers","Number","158386"
"Connacht","1986","Population of Non-Irish Speakers","Number","250474"
"Connacht","1986","Percentage of Irish Speakers","%","38.7"
"Connacht","1991","Population of Irish Speakers","Number","162680"
"Connacht","1991","Population of Non-Irish Speakers","Number","242091"
"Connacht","1991","Percentage of Irish Speakers","%","40.2"
"Connacht","1996","Population of Irish Speakers","Number","201195"
